PLAYER,PICK,TEAM,YEAR,G,MP,FG,FGA,FT,FTA,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,ADVANCED_WS,ADVANCED_BPM,ADVANCED_VORP,PER
Markelle Fultz,1,PHI,2017,14.0,18.1,3.2,7.9,0.7,1.5,0.8,2.3,3.8,0.9,0.3,1.2,1.6,7.1,8.5,-1.1,1.3,12.0
Lonzo Ball,2,LAL,2017,52.0,34.2,3.9,10.8,0.6,1.4,1.3,5.6,7.2,1.7,0.8,2.6,2.3,10.2,11.4,1.1,6.3,11.6
Jayson Tatum,3,BOS,2017,80.0,30.5,5.0,10.4,2.7,3.2,0.6,4.4,1.6,1.0,0.7,1.4,2.1,13.9,55.9,3.6,24.6,13.6
Josh Jackson,4,PHO,2017,77.0,25.4,5.1,12.1,2.3,3.6,1.2,3.3,1.5,1.0,0.5,1.9,2.8,13.1,-1.7,-3.8,-3.1,10.6
De'Aaron Fox,5,SAC,2017,73.0,27.8,4.5,10.9,1.9,2.7,0.5,2.3,4.4,1.0,0.3,2.4,2.2,11.6,29.6,0.9,11.4,9.8
Jonathan Isaac,6,ORL,2017,27.0,19.9,2.0,5.4,0.7,0.9,0.6,3.1,0.7,1.2,1.1,1.0,1.8,5.4,10.6,1.0,3.5,9.0
Lauri Markkanen,7,MIN,2017,68.0,29.7,5.5,12.7,2.1,2.4,1.2,6.3,1.2,0.6,0.6,1.2,1.5,15.2,31.0,1.2,9.9,14.8
Frank Ntilikina,8,NYK,2017,78.0,21.9,2.3,6.4,0.6,0.9,0.5,1.8,3.2,0.8,0.2,1.7,2.3,5.9,0.3,-4.4,-3.4,5.8
Dennis Smith Jr.,9,DAL,2017,69.0,29.7,5.9,14.8,1.9,2.8,0.7,3.0,5.2,1.0,0.3,2.8,2.2,15.2,2.3,-2.1,-0.2,11.4
Zach Collins,10,SAC,2017,66.0,15.8,1.7,4.4,0.4,0.6,0.7,2.7,0.8,0.3,0.5,0.9,2.0,4.4,9.2,-1.7,0.4,6.5
